order_id,day,weekday,zone,dish,items,total_eur,delivery_min,rating
1001,1,Mon,Nord,Pad Thai,3,26.7,26,4.8
1002,1,Mon,Altstadt,Miso Ramen,3,34.5,49,3.9
1003,1,Mon,Nord,Bao Box,3,23.4,19,3.6
1004,1,Mon,Nord,Bao Box,2,15.6,55,4.0
1005,2,Tue,Hafen,Falafel Wrap,2,13.8,34,5.0
1006,2,Tue,Nord,Pad Thai,2,17.8,58,3.7
1007,2,Tue,Altstadt,Pad Thai,2,17.8,21,4.8
1008,2,Tue,Hafen,Pad Thai,1,8.9,35,3.9
1009,2,Tue,Altstadt,Bao Box,2,15.6,19,3.9
1010,2,Tue,Hafen,Miso Ramen,2,23.0,38,4.1
1011,3,Wed,Sued,Bao Box,3,23.4,20,4.6
1012,3,Wed,Altstadt,Bao Box,3,23.4,42,3.3
1013,3,Wed,Altstadt,Falafel Wrap,1,6.9,55,3.9
1014,3,Wed,Altstadt,Pad Thai,3,26.7,54,5.0
1015,3,Wed,Altstadt,Miso Ramen,2,23.0,24,3.6
1016,3,Wed,Nord,Pad Thai,1,8.9,21,4.3
1017,3,Wed,Altstadt,Miso Ramen,3,34.5,35,4.8
1018,4,Thu,Altstadt,Miso Ramen,2,23.0,39,4.1
1019,4,Thu,Hafen,Bao Box,2,15.6,41,4.8
1020,4,Thu,Hafen,Bao Box,2,15.6,40,4.8
1021,4,Thu,Altstadt,Falafel Wrap,2,13.8,16,4.3
1022,4,Thu,Nord,Miso Ramen,2,23.0,24,4.5
1023,4,Thu,Altstadt,Miso Ramen,1,11.5,12,3.2
1024,5,Fri,Sued,Bao Box,3,23.4,27,3.2
1025,5,Fri,Hafen,Bao Box,3,23.4,54,4.5
1026,5,Fri,Nord,Pad Thai,1,8.9,32,4.3
1027,5,Fri,Sued,Miso Ramen,3,34.5,46,3.4
1028,5,Fri,Hafen,Falafel Wrap,3,20.7,17,3.8
1029,5,Fri,Hafen,Falafel Wrap,1,6.9,44,3.8
1030,5,Fri,Sued,Falafel Wrap,3,20.7,36,3.0
1031,6,Sat,Nord,Miso Ramen,1,11.5,34,4.3
1032,6,Sat,Altstadt,Bao Box,1,7.8,32,4.4
1033,6,Sat,Nord,Miso Ramen,2,23.0,43,4.9
1034,6,Sat,Sued,Falafel Wrap,1,6.9,39,4.2
1035,7,Sun,Nord,Falafel Wrap,3,20.7,47,3.8
1036,7,Sun,Sued,Falafel Wrap,3,20.7,14,4.3
1037,7,Sun,Sued,Bao Box,2,15.6,42,4.4
1038,7,Sun,Sued,Bao Box,1,7.8,45,4.8
1039,7,Sun,Sued,Falafel Wrap,1,6.9,36,3.5
1040,7,Sun,Altstadt,Miso Ramen,1,11.5,31,3.4
1041,7,Sun,Altstadt,Falafel Wrap,2,13.8,43,5.0
1042,8,Mon,Sued,Pad Thai,2,17.8,32,4.0
1043,8,Mon,Hafen,Miso Ramen,1,11.5,18,4.7
1044,8,Mon,Nord,Falafel Wrap,1,6.9,41,4.3
1045,8,Mon,Sued,Miso Ramen,3,34.5,13,3.7
1046,8,Mon,Sued,Falafel Wrap,2,13.8,19,4.2
1047,8,Mon,Sued,Pad Thai,3,26.7,48,3.6
1048,8,Mon,Sued,Pad Thai,3,26.7,18,4.6
1049,9,Tue,Nord,Miso Ramen,1,11.5,55,3.1
1050,9,Tue,Sued,Pad Thai,3,26.7,53,4.3
1051,9,Tue,Nord,Pad Thai,2,17.8,30,4.9
1052,9,Tue,Hafen,Falafel Wrap,2,13.8,16,3.0
1053,10,Wed,Nord,Miso Ramen,1,11.5,18,3.5
1054,10,Wed,Nord,Pad Thai,1,8.9,55,4.1
1055,10,Wed,Altstadt,Pad Thai,2,17.8,50,4.3
1056,10,Wed,Hafen,Bao Box,2,15.6,50,3.4
1057,10,Wed,Nord,Miso Ramen,2,23.0,55,3.7
1058,10,Wed,Hafen,Pad Thai,2,17.8,34,3.1
1059,11,Thu,Hafen,Bao Box,2,15.6,30,4.5
1060,11,Thu,Altstadt,Bao Box,2,15.6,32,4.2
1061,11,Thu,Hafen,Bao Box,3,23.4,24,4.1
1062,11,Thu,Nord,Bao Box,1,7.8,19,3.1
1063,11,Thu,Hafen,Pad Thai,3,26.7,13,3.8
1064,11,Thu,Altstadt,Falafel Wrap,2,13.8,36,3.8
1065,11,Thu,Sued,Miso Ramen,3,34.5,20,3.4
1066,12,Fri,Sued,Miso Ramen,2,23.0,26,3.0
1067,12,Fri,Altstadt,Pad Thai,3,26.7,38,3.5
1068,12,Fri,Nord,Pad Thai,1,8.9,23,4.1
1069,12,Fri,Hafen,Pad Thai,2,17.8,15,4.3
1070,13,Sat,Nord,Falafel Wrap,2,13.8,26,4.4
1071,13,Sat,Altstadt,Falafel Wrap,3,20.7,57,5.0
1072,13,Sat,Hafen,Falafel Wrap,3,20.7,33,4.7
1073,13,Sat,Altstadt,Pad Thai,2,17.8,52,3.9
1074,14,Sun,Sued,Pad Thai,1,8.9,52,3.8
1075,14,Sun,Hafen,Miso Ramen,1,11.5,45,4.4
1076,14,Sun,Sued,Bao Box,3,23.4,17,3.6
1077,14,Sun,Nord,Pad Thai,1,8.9,13,4.1
1078,14,Sun,Nord,Pad Thai,3,26.7,37,3.8
1079,14,Sun,Nord,Falafel Wrap,3,20.7,17,3.3
1080,14,Sun,Hafen,Miso Ramen,2,23.0,31,3.1
